placa,descricao
4H39-RCB,FIAT/MOBI LIKE/ COR CINZA ANO MODELO 2023 LEVADO DE 168 (RAI: 38124581)
6963-PBO,HYUNDAI/HB20 UNIQUE DE COR BRANCA 2019 - ART.168 DO DIA 22/11
2H13-PXO,COROLLA XEI DE COR BRANCA 2016/17 - PRODUTO DE APROPRIACAO INDEVITA
9043-PRZ,HONDA CG TITAN DE COR PRETA 2018/18 - PRODUTO DE APROPRIACAO INDEVITA 27/11
3H41-OGO,RENAULT SANDERO COR PRETA 12/12 VEICULO PRODUTO DE 171
1884-ONJ,HONDA BIZ 100 ES DE COR PRETA 2014/14 - APROPRIACAO INDEVITA DO DIA 18/01 NA JAIARA
1863-NLE,YAMAHA/ FACTOR YBR 125 COR AZUL - PRODUTO DE APROPRIACAO INDEBITA ENTRE USUARIOS DE DROGAS
1F04-SCC,FIAT/MOBI LIKE COR BRANCA ANO 2022/2023 - APROPRIACAO INDEBITA (LOCACAO DE VEICULO NAO DEVOLVIDO)
8B81-SDI,YAMAHA/YBR 125 FACTOR COR PRETA 24/25 - VEICULO COM REGISTRO DE APROPRIACAO INDEBITA
5J96-SCN,HONDA/CB300F TWISTER 23/23 VERMELHA - CONDUTOR PRATICOU HOMICIDIO NO DIA 02/06 E EVADIU
8F29-OMV,HONDA/ BIZ 125 15/15 PRETA VEICULO PRODUTO DE ESTELIONATO RODANDO PELA AV. PEDRO LUDOVICO
8E36-FVP,CHEVROLET/ONIX DE COR PRETA ANO 21/22 CARATER COM FALSA COMUNICACAO DE ROUBO
2B17-JKN,VW GOL/ BRANCO 13/14 - PRODUTO DE APROPRIACAO INDEBITA
5A70-LPI,FORD FOCUS DE COR PRETA ANO MODELO 2008 COM REGISTRO DE APROPRIACAO INDEBITA
6A06-HJL,CHEVROLET AGILE DE COR PRATA AO MODELO 2011 COM REGISTRO DE APROPRIACAO INDEBITA
3G37-SCM,HONDA/CG 160 FAN PRETA ANO MODELO 22/23 CARATER DE GYN RODANDO EM ANAPOLIS
6B42-SCA,YAMAHA/ N MAX 160 BRANCA 21/22 - POSSIVEL DOBRA RODANDO EM ANAPOLIS
3016-NKM,FIAT - SIENA EL - PRATA - 2009/2010 - APROPRIACAO INDEVITA
3C78-NVY,CHEVROLET - S10 - PRATA - 2011 - APROPRIACAO INDEVITA
6A92-FDO,FIAT CRONOS - PRATA - 2023 - ESTELIONATO
5F52-LSY,COROLA - BRANCO - 2017 - ESTELIONATO
6H69-NWN,HONDA CG 125 FAN ES ROXA 11/11 - ART.168 (RAI:45360110)
7F25-ETN,KIA SOUL EX - BRANCO 10/11 - 168 (RAI:45417219)
5B86-OGI,FORD KA FLEX VERMELHO - 11/12 - 168 (RAI:45391652)
1I13-SCO,HYUNDAI/ CRETA LIMITED CARATER DF
6875-KEO,FIAT/ PALIO WEEKEND ELX - PRETO - 01/01 - 168 (RAI:44586396) - ABORDADO 4°BPM
0883-HPM,FIAT UNO MILLE FIRE-2001 VERMELHO - ART.168 (RAI:45206831)
S/PLACA,CHEV/ ONIX 1.0 MT
2A27-SDM,SHINERAY - XY 125 BRANCA 24/24 ART.168 (RAI:45821103)
1G58-GID,HB20 1.0 - PRATA 18/19 - CLONE RODANDO EM ANPS (CLONE COM PLACA ANTIGA E POSSUI ENGATE)
7058-PRE,HONDA/ BIZ 125 LARANJA 17/18 - ART.168 (RAI:46193104)
2598-NGE,YAMAHA/ YBR 125E SPORT PRETA 06/07 - ART.168 (RAI:46313985)
8H13-SCN,FIAT/ARGO DRIVE 1.0 /BRANCA 22/22 (ART 171)
5C90-ONR,CHEVROLET/S10 LT DD2 / BRANCA 13/13 (ART 171)
8266-JER,FIAT/UNO MILLE AZUL 96/96 (FORAGIDO - MARCIO PEREIRA DE PAULA)
3173-JHK,RENAULT/SANDERO VERM 08/08 (VEIC. LEVADO MAS NAO POSSUI REGISTRO DE FURTO)
1D78-SDA,MOTTU/SPORT 110I PRETA 24/25 (ART. 168)
7J76-NKI,HONDA/CG TITAN 150 VERM 09/09 (ART. 168)
6D52-OGK,HONDA/CG 150 FAN PRETA 12/12 (FORAGIDO - ARIOSTON MOTA CARDOSO)
7I24-GIB,MOTTU SPORT 110 23/24 (ART. 168 - APROP. INDEB.)
8C05-PYL,TRITON/SPORT HPE TOP BRANCA 17/17 (ENVOLVIDO NO HOMICIDIO ULT OCR GO 222)
